id,title,price,currency,location,condition,brand,date_posted,url,scraped_at,brand_version,price_range,is_brand_new,title_length,ram_gb,storage_gb
27,Apple iPhone 15 Pro Max (Used),200000.0,LKR,Kandy,Used,Apple,36 minutes,https://ikman.lk/en/ad/apple-iphone-15-pro-max-used-for-sale-kandy-453,2026-02-21 02:37:02,15,>200k,0,30,,
28,Xiaomi Mi 20W Wireless Charging Stand â Fast Charge,6000.0,LKR,Galle,Unknown,Xiaomi,36 minutes,https://ikman.lk/en/ad/xiaomi-mi-20w-wireless-charging-stand-fast-charge-original-for-sale-galle,2026-02-21 02:37:02,20W,<10k,0,53,,
29,ASPOR A618 WIRELESS HEADPHONE,5900.0,LKR,Colombo,Unknown,Other,,https://ikman.lk/en/ad/aspor-a618-wireless-headphone-for-sale-colombo-3,2026-02-21 02:37:05,A618,<10k,0,29,,
30,Apple EarPods with Lightning Connector,6800.0,LKR,Colombo,Unknown,Apple,,https://ikman.lk/en/ad/apple-earpods-with-lightning-connector-for-sale-colombo-104,2026-02-21 02:37:05,EARPODS,<10k,0,38,,
31,Vivo Y17 8GB/256GB_~~ (Used),11990.0,LKR,Colombo,Used,Vivo,,https://ikman.lk/en/ad/vivo-y17-8gb-256gb-used-for-sale-colombo-4285,2026-02-21 02:37:05,Y17,10k-30k,0,28,,8.0
32,Samsung Galaxy S21 (Used),50000.0,LKR,Matara,Used,Samsung,2 hours,https://ikman.lk/en/ad/samsung-galaxy-s21-5g-used-for-sale-matara-19,2026-02-21 02:37:05,S21,30k-60k,0,25,,
33,Apple iPhone 15 Pro 256GB (Used),212000.0,LKR,Matale,Used,Apple,2 hours,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-matale-4,2026-02-21 02:37:05,15,>200k,0,32,,256.0
34,Xiaomi 11 Lite NE 6/128GB (Used),40000.0,LKR,Kandy,Used,Xiaomi,2 hours,https://ikman.lk/en/ad/xiaomi-11-lite-ne-6-128-used-for-sale-kandy,2026-02-21 02:37:05,11,30k-60k,0,32,,128.0
35,Samsung Galaxy J2 (Used),6200.0,LKR,Polonnaruwa,Used,Samsung,2 hours,https://ikman.lk/en/ad/samsung-galaxy-j2-samsng-gold-used-for-sale-polonnaruwa,2026-02-21 02:37:05,J2,<10k,0,24,,
36,Apple iPhone 16 Pro Max 256GB (Used),279500.0,LKR,Gampaha,Used,Apple,2 hours,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-gampaha-326,2026-02-21 02:37:05,16,>200k,0,36,,256.0
37,Samsung Galaxy Z Flip3 5G (Used),54000.0,LKR,Colombo,Used,Samsung,2 hours,https://ikman.lk/en/ad/samsung-galaxy-z-flip3-5g-used-for-sale-colombo,2026-02-21 02:37:05,5G,30k-60k,0,32,,
38,Apple iPhone 13 Pro (Used),130000.0,LKR,Matara,Used,Apple,2 hours,https://ikman.lk/en/ad/apple-iphone-13-pro-used-for-sale-matara-150,2026-02-21 02:37:05,13,100k-200k,0,26,,
39,AirPods 4,3600.0,LKR,Colombo,Unknown,Other,2 hours,https://ikman.lk/en/ad/airpods-4-anc-for-sale-colombo-95,2026-02-21 02:37:05,4,<10k,0,9,,
40,Apple iPhone 8 (Used),25000.0,LKR,Gampaha,Used,Apple,2 hours,https://ikman.lk/en/ad/apple-iphone-8-64gb-used-for-sale-gampaha-7481,2026-02-21 02:37:05,8,10k-30k,0,21,,
41,Xiaomi Redmi Note 13 Pro (Used),45000.0,LKR,Vavuniya,Used,Xiaomi,2 hours,https://ikman.lk/en/ad/redmi-note-13-pro-used-for-sale-vavuniya,2026-02-21 02:37:05,13,30k-60k,0,31,,
42,AirPods Pro 2,2990.0,LKR,Colombo,Unknown,Other,2 hours,https://ikman.lk/en/ad/airpods-pro-2-for-sale-colombo-296,2026-02-21 02:37:05,2,<10k,0,13,,
43,Apple iPhone 16 Pro 256GB (Used),245000.0,LKR,Kandy,Used,Apple,2 hours,https://ikman.lk/en/ad/apple-iphone-16-pro-256gb-used-for-sale-kandy-54,2026-02-21 02:37:05,16,>200k,0,32,,256.0
44,Apple iPhone 14 Pro Max (Used),185000.0,LKR,Colombo,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-14-pro-max-used-for-sale-colombo-2373,2026-02-21 02:37:05,14,100k-200k,0,30,,
45,Vivo Y93 6GB 128GB (Used),9300.0,LKR,Colombo,Used,Vivo,3 hours,https://ikman.lk/en/ad/vivo-y93-6gb-128gb-used-for-sale-colombo-8675,2026-02-21 02:37:05,Y93,<10k,0,25,,6.0
46,Apple iPhone 15 Pro Max 256GB ESIM (Used),207500.0,LKR,Colombo,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-esim-used-for-sale-colombo,2026-02-21 02:37:05,15,>200k,0,41,,256.0
47,Xiaomi Redmi 15C (Brand New),39900.0,LKR,Colombo,Brand New,Xiaomi,3 hours,https://ikman.lk/en/ad/xiaomi-redmi-15c-brand-new-for-sale-colombo-139,2026-02-21 02:37:05,15C,30k-60k,1,28,,
48,Apple iPhone 16 Plus 128GB (Used),200000.0,LKR,Colombo,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-16-plus-128-used-for-sale-colombo-3,2026-02-21 02:37:05,16,>200k,0,33,,128.0
49,Apple iPhone XS (Used),36900.0,LKR,Galle,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-xs-64gb-used-for-sale-galle-400,2026-02-21 02:37:05,IPHONE,30k-60k,0,22,,
50,Xiaomi Redmi Note 14 (Used),44000.0,LKR,Colombo,Used,Xiaomi,3 hours,https://ikman.lk/en/ad/xiaomi-redmi-note-14-brand-new-for-sale-colombo-108,2026-02-21 02:37:05,14,30k-60k,0,27,,
51,Samsung Galaxy M02 64GB (Used),16500.0,LKR,Gampaha,Used,Samsung,3 hours,https://ikman.lk/en/ad/samsung-galaxy-m02-64gb-used-for-sale-gampaha,2026-02-21 02:37:05,M02,10k-30k,0,30,,64.0
52,Apple iPhone 13 Pro Max (Used),125000.0,LKR,Galle,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-13-pro-max-used-for-sale-galle-288,2026-02-21 02:37:05,13,100k-200k,0,30,,
53,Samsung Galaxy S5 (Used),11000.0,LKR,Kandy,Used,Samsung,3 hours,https://ikman.lk/en/ad/samsung-galaxy-s5-0767713912-used-for-sale-kandy,2026-02-21 02:37:05,S5,10k-30k,0,24,,
54,Apple iPhone 11 128GB (Used),69990.0,LKR,Gampaha,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-gampaha-13746,2026-02-21 02:37:05,11,60k-100k,0,28,,128.0
55,Samsung Galaxy A13 (Used),35000.0,LKR,Puttalam,Used,Samsung,3 hours,https://ikman.lk/en/ad/samsung-galaxy-a13-ex-change-i-phone-used-for-sale-puttalam,2026-02-21 02:37:05,A13,30k-60k,0,25,,
56,Vivo Y27S 8GB 256GB (Used),34990.0,LKR,Gampaha,Used,Vivo,3 hours,https://ikman.lk/en/ad/vivo-y27s-8gb-256gb-used-for-sale-gampaha-55,2026-02-21 02:37:05,Y27S,30k-60k,0,26,,8.0
57,Samsung Galaxy A17 5G 8/256GB (Brand New),59990.0,LKR,Vavuniya,Brand New,Samsung,,https://ikman.lk/en/ad/samsung-galaxy-a17-5g-8-256gb-brand-new-for-sale-vavuniya-1,2026-02-21 02:37:08,A17,30k-60k,1,41,,256.0
58,Samsung Galaxy S21 Ultra 256GB 12GB RAM 5G (Brand New),70000.0,LKR,Colombo,Brand New,Samsung,,https://ikman.lk/en/ad/samsung-galaxy-s21-ultra-256gb-12gb-ram-5g-brand-new-for-sale-colombo-6,2026-02-21 02:37:08,S21,60k-100k,1,54,12.0,256.0
59,Apple iPhone 14 128GB (Used),119999.0,LKR,Colombo,Used,Apple,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5918,2026-02-21 02:37:08,14,100k-200k,0,28,,128.0
60,TCL 60NXTPAPER 8GB 256GB (Used),39990.0,LKR,Gampaha,Used,Other,3 hours,https://ikman.lk/en/ad/tcl-60nxtpaper-8gb-256gb-used-for-sale-gampaha-7,2026-02-21 02:37:08,60NXTPAPER,30k-60k,0,31,,8.0
61,Samsung Galaxy M01 Core (Used),7500.0,LKR,Matara,Used,Samsung,3 hours,https://ikman.lk/en/ad/samsung-galaxy-m01-core-used-for-sale-matara-158,2026-02-21 02:37:08,M01,<10k,0,30,,
62,Honor X6c 6GB 128GB (Used),30990.0,LKR,Gampaha,Used,Honor,3 hours,https://ikman.lk/en/ad/honor-x6c-6gb-128gb-used-for-sale-gampaha-16,2026-02-21 02:37:08,X6C,30k-60k,0,26,,6.0
63,Xiaomi Redmi 14C 6GB 128GB (Used),29990.0,LKR,Gampaha,Used,Xiaomi,3 hours,https://ikman.lk/en/ad/xiaomi-redmi-14c-6gb-128gb-used-for-sale-gampaha-63,2026-02-21 02:37:08,14C,10k-30k,0,33,,6.0
64,Xiaomi Redmi Note 12 8GB 128GB (Used),29990.0,LKR,Gampaha,Used,Xiaomi,3 hours,https://ikman.lk/en/ad/xiaomi-redmi-note-12-8gb-128gb-used-for-sale-gampaha-4,2026-02-21 02:37:08,12,10k-30k,0,37,,8.0
65,Xiaomi Redmi Note 14 8GB|256GB (Brand New),53990.0,LKR,Colombo,Brand New,Xiaomi,3 hours,https://ikman.lk/en/ad/xiaomi-redmi-note-14-8gb256gb-brand-new-for-sale-colombo-34,2026-02-21 02:37:08,14,30k-60k,1,42,,8.0
66,Apple iPhone SE 256GB (Used),39990.0,LKR,Gampaha,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-se-256gb-used-for-sale-gampaha-1,2026-02-21 02:37:08,256GB,30k-60k,0,28,,256.0
67,Apple iPhone 7 (Used),18500.0,LKR,Kegalle,Used,Apple,3 hours,https://ikman.lk/en/ad/iphone-for-sale-kegalle,2026-02-21 02:37:08,7,10k-30k,0,21,,
68,Apple iPhone 12 128GB (Used),84990.0,LKR,Gampaha,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-gampaha-6914,2026-02-21 02:37:08,12,60k-100k,0,28,,128.0
69,Xiaomi Redmi 15C 8GB|256GB (Brand New),48490.0,LKR,Colombo,Brand New,Xiaomi,3 hours,https://ikman.lk/en/ad/xiaomi-redmi-15c-8gb256gb-brand-new-for-sale-colombo-48,2026-02-21 02:37:08,15C,30k-60k,1,38,,8.0
70,Xiaomi Redmi 15C 4GB|128GB (Brand New),47490.0,LKR,Colombo,Brand New,Xiaomi,3 hours,https://ikman.lk/en/ad/xiaomi-redmi-15c-4gb128gb-brand-new-for-sale-colombo-26,2026-02-21 02:37:08,15C,30k-60k,1,38,,4.0
71,Apple iPhone SE 128GB (Used),39990.0,LKR,Galle,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-se-128gb-used-for-sale-galle-2,2026-02-21 02:37:08,128GB,30k-60k,0,28,,128.0
72,Apple iPhone 6S (Used),16000.0,LKR,Gampaha,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-6s-ios-1586-used-for-sale-gampaha,2026-02-21 02:37:08,6S,10k-30k,0,22,,
73,Apple iPhone 14 (Used),119000.0,LKR,Colombo,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1679,2026-02-21 02:37:08,14,100k-200k,0,22,,
74,Apple iPhone 14 (Used),119000.0,LKR,Colombo,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1665,2026-02-21 02:37:08,14,100k-200k,0,22,,
75,Nokia 105 (Used),1700.0,LKR,Trincomalee,Used,Nokia,3 hours,https://ikman.lk/en/ad/nokia-105-used-for-sale-trincomalee-151,2026-02-21 02:37:08,105,<10k,0,16,,
76,Apple iPhone 14 (Used),119000.0,LKR,Colombo,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1678,2026-02-21 02:37:08,14,100k-200k,0,22,,
77,Apple iPhone 14 (Used),119000.0,LKR,Colombo,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1677,2026-02-21 02:37:08,14,100k-200k,0,22,,
78,Apple iPhone 14 128GB (Used),119000.0,LKR,Colombo,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5954,2026-02-21 02:37:08,14,100k-200k,0,28,,128.0
79,Apple iPhone 14 128GB (Used),119000.0,LKR,Colombo,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5955,2026-02-21 02:37:08,14,100k-200k,0,28,,128.0
80,Apple iPhone 12 Pro (Used),105000.0,LKR,Colombo,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-colombo-3985,2026-02-21 02:37:08,12,100k-200k,0,26,,
81,Apple iPhone 12 Pro Max (Used),117500.0,LKR,Gampaha,Used,Apple,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-gampaha-1923,2026-02-21 02:37:11,12,100k-200k,0,30,,
82,Honor 200 (Brand New),164900.0,LKR,Anuradhapura,Brand New,Honor,,https://ikman.lk/en/ad/honor-200-brand-new-for-sale-anuradhapura,2026-02-21 02:37:11,200,100k-200k,1,21,,
83,Apple iPhone 15 Pro 256GB Fullbox (Used),195900.0,LKR,Gampaha,Used,Apple,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-fullbox-used-for-sale-gampaha,2026-02-21 02:37:11,15,100k-200k,0,40,,256.0
84,Apple iPhone 12 Pro (Used),105000.0,LKR,Colombo,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-colombo-3988,2026-02-21 02:37:11,12,100k-200k,0,26,,
85,Apple iPhone 12 Pro (Used),105000.0,LKR,Colombo,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-colombo-3987,2026-02-21 02:37:11,12,100k-200k,0,26,,
86,Apple iPhone 12 Pro 256GB (Used),105000.0,LKR,Colombo,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10466,2026-02-21 02:37:11,12,100k-200k,0,32,,256.0
87,Apple iPhone 15 Pro Max 256GB (Used),228000.0,LKR,Colombo,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5784,2026-02-21 02:37:11,15,>200k,0,36,,256.0
88,Apple iPhone 12 128GB (Used),73000.0,LKR,Colombo,Used,Apple,3 hours,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9638,2026-02-21 02:37:11,12,60k-100k,0,28,,128.0
89,Apple iPhone 13 128GB (Used),94000.0,LKR,Colombo,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11420,2026-02-21 02:37:11,13,60k-100k,0,28,,128.0
90,Samsung Galaxy A32 8GB (Used),17000.0,LKR,Kurunegala,Used,Samsung,4 hours,https://ikman.lk/en/ad/samsung-galaxy-a32-8gb-used-for-sale-kurunegala,2026-02-21 02:37:11,A32,10k-30k,0,29,,8.0
91,Apple iPhone X (Used),28000.0,LKR,Colombo,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-x-used-for-sale-colombo-9410,2026-02-21 02:37:11,IPHONE,10k-30k,0,21,,
92,Xiaomi Redmi 14C (Used),22000.0,LKR,Hambantota,Used,Xiaomi,4 hours,https://ikman.lk/en/ad/xiaomi-redmi-14c-used-for-sale-hambantota-9,2026-02-21 02:37:11,14C,10k-30k,0,23,,
93,Apple iPhone 12 Pro 256GB (Used),97000.0,LKR,Colombo,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10346,2026-02-21 02:37:11,12,60k-100k,0,32,,256.0
94,Apple iPhone 14 Pro 256GB (Used),174000.0,LKR,Colombo,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-colombo-3204,2026-02-21 02:37:11,14,100k-200k,0,32,,256.0
95,Xiaomi Redmi 12 2023 (Used),12500.0,LKR,Ampara,Used,Xiaomi,4 hours,https://ikman.lk/en/ad/xiaomi-redmi-12-2023-used-for-sale-ampara-14,2026-02-21 02:37:11,12,10k-30k,0,27,,
96,Apple iPhone 8 Plus 256GB (Used),42999.0,LKR,Colombo,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-8-plus-256gb-used-for-sale-colombo-4545,2026-02-21 02:37:11,8,30k-60k,0,32,,256.0
97,Apple iPhone 13 128GB (Used),104999.0,LKR,Colombo,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-9013,2026-02-21 02:37:11,13,100k-200k,0,28,,128.0
98,Apple iPhone 14 Pro Max 256GB (Used),188000.0,LKR,Colombo,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-colombo-5029,2026-02-21 02:37:11,14,100k-200k,0,36,,256.0
99,Apple iPhone 16 Pro Max 256GB (Used),275000.0,LKR,Colombo,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2351,2026-02-21 02:37:11,16,>200k,0,36,,256.0
100,Apple iPhone 15 (Used),135000.0,LKR,Galle,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-15-used-for-sale-galle-97,2026-02-21 02:37:11,15,100k-200k,0,22,,
101,Google Pixel Watch 1 LTE,22000.0,LKR,Puttalam,Unknown,Google,4 hours,https://ikman.lk/en/ad/google-pixel-watch-1-lte-for-sale-puttalam,2026-02-21 02:37:11,1,10k-30k,0,24,,
102,Samsung Galaxy S22 (Used),75000.0,LKR,Kegalle,Used,Samsung,4 hours,https://ikman.lk/en/ad/samsung-galaxy-s22-5g-used-for-sale-kegalle-21,2026-02-21 02:37:11,S22,60k-100k,0,25,,
103,Apple iPhone X (Used),35000.0,LKR,Galle,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-x-used-for-sale-galle-1471,2026-02-21 02:37:11,IPHONE,30k-60k,0,21,,
104,Google Pixel 7 Pro (Used),80000.0,LKR,Ratnapura,Used,Google,4 hours,https://ikman.lk/en/ad/google-pixel-7-pro-used-for-sale-ratnapura-40,2026-02-21 02:37:11,7,60k-100k,0,25,,
105,Apple iPhone XS (Used),35000.0,LKR,Puttalam,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-xs-used-for-sale-puttalam-612,2026-02-21 02:37:11,IPHONE,30k-60k,0,22,,
106,Apple iPhone XS for Parts,6500.0,LKR,Badulla,Unknown,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-xs-i-phone-used-for-sale-badulla-34,2026-02-21 02:37:11,IPHONE,<10k,0,25,,
107,Apple iPhone 11 (Used),42000.0,LKR,Kalutara,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-kalutara-1419,2026-02-21 02:37:11,11,30k-60k,0,22,,
108,Apple iPhone 13 (Used),120000.0,LKR,Colombo,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-13-i-phone-used-for-sale-colombo-182,2026-02-21 02:37:11,13,100k-200k,0,22,,
109,Apple iPhone 13 Pro 512GB Full Box (Used),133000.0,LKR,Polonnaruwa,Used,Apple,,https://ikman.lk/en/ad/apple-iphone-13-pro-512gb-full-box-used-for-sale-polonnaruwa,2026-02-21 02:37:14,13,100k-200k,0,41,,512.0
110,Samsung Galaxy S23 FE 5G 256GB 8GBRam 50MP (Used),94990.0,LKR,Colombo,Used,Samsung,,https://ikman.lk/en/ad/samsung-galaxy-s23-fe-5g-256gb-8gbram-50mp-used-for-sale-colombo-5,2026-02-21 02:37:14,S23,60k-100k,0,49,8.0,256.0
111,Apple iPhone 12 Pro (Used),75000.0,LKR,Anuradhapura,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-12-pro-12pro25-used-for-sale-anuradhapura,2026-02-21 02:37:14,12,60k-100k,0,26,,
112,Honor X9d 256/12Gb (Brand New),136499.0,LKR,Colombo,Brand New,Honor,4 hours,https://ikman.lk/en/ad/honor-x9d-256-12gb-brand-new-for-sale-colombo,2026-02-21 02:37:14,X9D,100k-200k,1,30,,12.0
113,Apple iPhone 11 Pro (Used),89800.0,LKR,Kalutara,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-11-pro-11pro-used-for-sale-kalutara-16,2026-02-21 02:37:14,11,60k-100k,0,26,,
114,Apple iPhone 7 (Used),35000.0,LKR,Puttalam,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-7-used-for-sale-puttalam-2348,2026-02-21 02:37:14,7,30k-60k,0,21,,
115,Apple iPhone 16 Pro Max (Used),320000.0,LKR,Vavuniya,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-16-pro-max-no-error-used-for-sale-vavuniya,2026-02-21 02:37:14,16,>200k,0,30,,
116,UMIDIGI G1 (Used),13500.0,LKR,Badulla,Used,Other,4 hours,https://ikman.lk/en/ad/umidigi-g1-android-used-for-sale-badulla-2,2026-02-21 02:37:14,G1,10k-30k,0,17,,
117,Apple iPhone 14 Pro (Used),145000.0,LKR,Gampaha,Used,Apple,4 hours,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-gampaha-775,2026-02-21 02:37:14,14,100k-200k,0,26,,
